group	fill	clickSelects
1	#FFFFFF	31
2	#FFFFFF	31
3	#FFFFFF	31
4	#FFFFFF	72
5	#FFFFFF	72
6	#FFFFFF	23
7	#FFFFFF	16
8	#FFFFFF	23
9	#FFFFFF	16
10	#FFFFFF	16
11	#FFFFFF	16
12	#FFFFFF	16
13	#FFFFFF	16
14	#FFFFFF	31
15	#FFFFFF	16
16	#FFFFFF	24
17	#FFFFFF	24
18	#FFFFFF	24
19	#FFFFFF	24
20	#FFFFFF	24
21	#FFFFFF	24
22	#FFFFFF	24
23	#FFFFFF	24
24	#FFFFFF	24
25	#FFFFFF	60
26	#FFFFFF	24
36	#FFFFFF	60
46	#FFFFFF	60
47	#FFFFFF	72
48	#FFFFFF	72
49	#FFFFFF	72
50	#FFFFFF	72
51	#FFFFFF	31
52	#FFFFFF	31
53	#FFFFFF	72
54	#FFFFFF	72
55	#FFFFFF	72
56	#FFFFFF	16
57	#FFFFFF	16
58	#FFFFFF	23
59	#FFFFFF	16
60	#FFFFFF	16
61	#FFFFFF	16
62	#FFFFFF	16
63	#FFFFFF	31
64	#FFFFFF	16
65	#FFFFFF	24
66	#FFFFFF	24
67	#FFFFFF	24
68	#FFFFFF	24
69	#FFFFFF	24
70	#FFFFFF	24
71	#FFFFFF	24
72	#FFFFFF	24
73	#FFFFFF	24
74	#FFFFFF	31
75	#FFFFFF	24
76	#FFFFFF	24
85	#FFFFFF	60
96	#FFFFFF	60
97	#FFFFFF	60
98	#FFFFFF	72
99	#FFFFFF	60
100	#FFFFFF	72
101	#FFFFFF	31
102	#FFFFFF	31
103	#FFFFFF	31
104	#FFFFFF	72
105	#FFFFFF	60
106	#FFFFFF	60
107	#FFFFFF	16
108	#FFFFFF	16
110	#FFFFFF	16
111	#FFFFFF	16
112	#FFFFFF	16
113	#FFFFFF	16
114	#FFFFFF	31
115	#FFFFFF	16
116	#FFFFFF	24
117	#FFFFFF	24
118	#FFFFFF	24
119	#FFFFFF	24
120	#FFFFFF	24
121	#FFFFFF	24
122	#FFFFFF	24
123	#FFFFFF	24
