group	label	showSelected1
1	Cluster 4: 327/463 pixels shown, logFC -0.6 to 0.7, log10(p) 0.0 to 3.0	4
1	Cluster 6: 280/1198 pixels shown, logFC -4.8 to 4.7, log10(p) 0.0 to 3.0	6
1	Cluster 8: 121/121 pixels shown, logFC -0.1 to 1.6, log10(p) 0.0 to 84.6	8
1	Cluster 9: 194/194 pixels shown, logFC -1.9 to 1.4, log10(p) 0.0 to 2.7	9
1	Cluster 10: 29/29 pixels shown, logFC -0.3 to 3.1, log10(p) 0.0 to 7.4	10
1	Cluster 13: 77/77 pixels shown, logFC 0.8 to 2.0, log10(p) 2.8 to 46.3	13
1	Cluster 14: 117/117 pixels shown, logFC 1.1 to 1.7, log10(p) 13.2 to 53.8	14
1	Cluster 17: 137/153 pixels shown, logFC -4.2 to 2.5, log10(p) 0.0 to 2.1	17
1	Cluster 22: 192/214 pixels shown, logFC -3.5 to 4.0, log10(p) 0.0 to 2.5	22
1	Cluster 25: 522/522 pixels shown, logFC -1.1 to 0.9, log10(p) 0.0 to 3.8	25
1	Cluster 28: 92/122 pixels shown, logFC -1.4 to 1.1, log10(p) 0.0 to 2.6	28
1	Cluster 29: 146/146 pixels shown, logFC -0.7 to 2.6, log10(p) 0.0 to 12.6	29
1	Cluster 30: 156/309 pixels shown, logFC -0.5 to 0.6, log10(p) 0.0 to 3.7	30
1	Cluster 34: 58/58 pixels shown, logFC -4.2 to 4.0, log10(p) 0.0 to 1.4	34
1	Cluster 35: 92/92 pixels shown, logFC -1.1 to 1.6, log10(p) 0.0 to 11.0	35
1	Cluster 38: 64/64 pixels shown, logFC 1.0 to 1.7, log10(p) 7.0 to 30.5	38
1	Cluster 40: 32/32 pixels shown, logFC 1.3 to 1.5, log10(p) 63.0 to 124.3	40
1	Cluster 46: 37/120 pixels shown, logFC -0.0 to 1.5, log10(p) 0.1 to 121.1	46
1	Cluster 53: 198/849 pixels shown, logFC -4.6 to 4.7, log10(p) 0.0 to 2.2	53
1	Cluster 59: 6/6 pixels shown, logFC 1.2 to 1.5, log10(p) 23.4 to 90.6	59
1	Cluster 62: 14/110 pixels shown, logFC -0.1 to 0.4, log10(p) 0.0 to 3.5	62
1	Cluster 68: 2/13 pixels shown, logFC -0.2 to 2.5, log10(p) 0.1 to 14.5	68
1	Cluster 69: 4/27 pixels shown, logFC -0.6 to 0.4, log10(p) 0.0 to 1.0	69
1	Cluster 71: 37/37 pixels shown, logFC -1.9 to 2.6, log10(p) 0.0 to 4.9	71
1	Cluster 78: 23/23 pixels shown, logFC 1.4 to 1.5, log10(p) 85.3 to 124.7	78
1	Cluster 81: 12/18 pixels shown, logFC 0.7 to 1.7, log10(p) 1.6 to 13.7	81
1	Cluster 84: 32/70 pixels shown, logFC -4.2 to 2.4, log10(p) 0.0 to 5.6	84
1	Cluster 87: 38/38 pixels shown, logFC 1.3 to 1.5, log10(p) 48.1 to 90.8	87
1	Cluster 95: 3/87 pixels shown, logFC -2.6 to 2.4, log10(p) 0.0 to 2.8	95
1	Cluster 102: 15/867 pixels shown, logFC -0.8 to 0.8, log10(p) 0.0 to 2.8	102
1	Cluster 103: 120/137 pixels shown, logFC -1.3 to 1.0, log10(p) 0.0 to 3.0	103
1	Cluster 105: 34/34 pixels shown, logFC -1.7 to 2.7, log10(p) 0.0 to 4.6	105
1	Cluster 110: 34/41 pixels shown, logFC -2.4 to 1.6, log10(p) 0.0 to 2.3	110
